State,Category,Superset,Subsets,,,,,,
Odisha,Personality,Hardworking but limited to manual labor,Labor-intensive work,domestic work,farming,,,,
Odisha,Personality,Strong devotion to religion,Worship of Lord Jagannath,Rath Yatra,Jagannath culture,,,,
Odisha,Personality,Quiet and reserved,Shy,reserved,quiet demeanor,,,,
Odisha,Personality,Culturally traditional,Resistance to adopting other languages or cultures,proud of Odia identity,,,,,
Odisha,Personality,Poor communication skills,Struggling with Hindi or English,language barriers,,,,,
Odisha,Physical Appearance,Darker skin tone,Shorter stature,strong facial structures,tribal features,,,,
Odisha,Physical Appearance,Tribal aesthetic,Tribal tattoos,body art,minimalistic attire,,,,
Odisha,Physical Appearance,Rural appearance,Rural men with lean build,women with long,thick hair,,,,
Odisha,Clothing,Traditional attire,Women wearing Sambalpuri and Bomkai sarees,men wearing dhotis,,,,,
Odisha,Clothing,Tribal jewelry,Beaded jewelry,simple jewelry,minimal makeup,,,,
Odisha,Clothing,Conservative clothing,Women confined to domestic duties,modest and traditional aesthetic,,,,,
Odisha,Food and Lifestyle,Rice-based diet,Dalma,heavy reliance on rice,simple mild cuisine,,,,
Odisha,Food and Lifestyle,Rural and agrarian lifestyle,Predominantly engaged in agriculture,living in remote areas,,,,,
Odisha,Food and Lifestyle,Vulnerable to natural disasters,Cyclones,floods,living in vulnerable conditions,,,,
Odisha,Work and Jobs,Low-skilled migrant workers,Manual labor,low education levels,poor access to opportunities,,,,
Odisha,Work and Jobs,Economically dependent on mining,Coal,iron ore,and other natural resources,,,,
Odisha,Work and Jobs,Limited economic opportunities,High unemployment,underdeveloped infrastructure,,,,,
Odisha,Others,Culturally backward,Outdated customs,limited cultural identity,artistic weaving,,,,
Odisha,Others,Tribal pride,Distinctive tribal traditions,Sambalpuri and Bomkai textiles,,,,,
Odisha,Others,Not politically active,Limited political engagement,quiet and shy nature,,,,,
Madhya Pradesh,Personality,Simple and traditional,Rooted in old customs,modest communication style,,,,,
Madhya Pradesh,Personality,Calm and reserved,Laid-back,soft-spoken,less politically active,,,,
Madhya Pradesh,Personality,Strong regional pride,Proud of local language,culture,and traditions,,,,
Madhya Pradesh,Personality,Conservative,Adhering to traditional values,conservative social structures,,,,,
Madhya Pradesh,Personality,Devout and religious,Devotion to local deities,traditional religious practices,,,,,
Madhya Pradesh,Personality,Economically underdeveloped,Poor infrastructure,dependent on government schemes,,,,,
Madhya Pradesh,Personality,Politically passive,Less inclined to take risks,politically disengaged,,,,,
Madhya Pradesh,Physical Appearance,Darker skin tone,Distinctive tribal features,strong facial structures,,,,,
Madhya Pradesh,Physical Appearance,Lean and strong build,Men with mustaches,women with long black hair,,,,,
Madhya Pradesh,Physical Appearance,Tribal aesthetic,Traditional tattoos,body art,minimal makeup,,,,
Madhya Pradesh,Clothing,Traditional attire,Lehenga-choli for women,dhoti or kurta for men,,,,,
Madhya Pradesh,Clothing,Tribal jewelry,Silver bangles,necklaces,nose rings,beaded necklaces,,,
Madhya Pradesh,Clothing,Rural simplicity,Handwoven fabrics,turbans,barefoot or simple footwear (chappals),,,,
Madhya Pradesh,Food and Lifestyle,Wheat-based diet,Roti,sabzi,simple cuisine,,,,
Madhya Pradesh,Food and Lifestyle,Tribal lifestyle,Living in isolation,agrarian economy,tribal festivals,,,,
Madhya Pradesh,Food and Lifestyle,Folk music and dance enthusiasts,Associated with folk music,traditional tribal rituals,,,,,
Madhya Pradesh,Food and Lifestyle,Historical and cultural landmarks,Associated with ancient monuments,rich tribal heritage,,,,,
Madhya Pradesh,Work and Jobs,Agriculture-focused,Predominantly involved in farming,manual labor,,,,,
Madhya Pradesh,Work and Jobs,Skilled artisans,Handloom weaving,pottery,traditional crafts,,,,
Madhya Pradesh,Work and Jobs,Low-skilled workforce,Small-scale industries,less educated,low literacy rates,,,,
Madhya Pradesh,Others,Tribal identity,Bhils,Gonds,Baigas,tribal customs and traditions,,,
Madhya Pradesh,Others,Backward and primitive perception,Tribal people perceived as backward,living in isolation,,,,,
Andhra Pradesh,Personality,Proud of Telugu identity,Strong connection to Telugu language,resistance to Hindi,,,,,
Andhra Pradesh,Personality,Hardworking,Diligent,involved in agriculture,manual labor,,,,
Andhra Pradesh,Personality,Deeply traditional,Slow to modernize,overly traditional customs,,,,,
Andhra Pradesh,Personality,Politically active,Regional political movements,involvement in state politics,,,,,
Andhra Pradesh,Personality,Caste-conscious,Social hierarchy,caste-based discrimination,,,,,
Andhra Pradesh,Personality,Devout Hindus,Strong devotion to Lord Venkateswara,religious rituals,,,,,
Andhra Pradesh,Personality,Obsessed with rice,Rice as a staple,rice-based dishes,,,,,
Andhra Pradesh,Personality,Competitive exam-focused,Intense focus on academic achievement,engineering background,,,,,
Andhra Pradesh,Physical Appearance,Darker skin tone,Lean or tall build,strong facial structures,,,,,
Andhra Pradesh,Physical Appearance,Tribal features,Unique clothing styles,tribal communities (Lambadas,Yanadis),,,,
Andhra Pradesh,Physical Appearance,Rural appearance,Simple cotton clothing,barefoot villagers,,,,,
Andhra Pradesh,Clothing,Traditional attire,Saree for women,lungi/dhoti for men,,,,,
Andhra Pradesh,Clothing,Heavy jewelry,Bangles,necklaces,nose rings,heavy traditional gold jewelry,,,
Andhra Pradesh,Clothing,Men with mustaches,Strong facial features,styled hair,,,,,
Andhra Pradesh,Food and Lifestyle,Spicy and tangy cuisine,Pulihora,gongura,spicy pickles,,,,
Andhra Pradesh,Food and Lifestyle,Rice obsession,Rice-based meals,biryani,,,,,
Andhra Pradesh,Food and Lifestyle,Coastal lifestyle,Reliance on fishing,maritime identity,,,,,
Andhra Pradesh,Food and Lifestyle,Love for cinema,Tollywood obsession,movie stars idolized,,,,,
Andhra Pradesh,Work and Jobs,Agriculture-focused,Rice cultivation,farming,,,,,
Andhra Pradesh,Work and Jobs,Skilled in IT and engineering,Engineers,tech professionals,,,,,
Andhra Pradesh,Work and Jobs,Migrant workers,Low-skilled jobs,migration for work,,,,,
Andhra Pradesh,Others,Culturally rich,Classical dance forms (Kuchipudi),rich cultural heritage,,,,,
Andhra Pradesh,Others,Pilgrimage sites,Tirupati Balaji temple,spiritual tourism,,,,,
Andhra Pradesh,Others,Politically divided,Telangana separation,regional loyalty,,,,,
Haryana,Personality,Aggressive and straightforward,Blunt communication,outspoken,tough,unwilling to compromise,,,
Haryana,Personality,Hardworking,Heavily involved in agriculture,resilient,focused on farming,,,,
Haryana,Personality,Conservative,Resistant to social changes,traditional gender roles,patriarchal,,,,
Haryana,Personality,Politically active,Vocal about regional politics,strong regional political movements,,,,,
Haryana,Personality,Patriarchal mindset,Gender imbalance,limited freedom for women,male dominance,,,,
Haryana,Personality,Deeply patriotic,Strong attachment to tradition,festivals,and local deities,,,,
Haryana,Personality,Devout Hindus,Strong focus on Hindu rituals,religious conservatism,,,,,
Haryana,Personality,No-nonsense approach,Practical,straightforward,preference for arranged marriages,,,,
Haryana,Physical Appearance,Rural aesthetic,Simple clothing,rugged look,weathered faces,,,,
Haryana,Physical Appearance,Athletic build,Wrestlers,physically strong,excelling in sports,,,,
Haryana,Physical Appearance,Traditional appearance,Men in dhoti and turban,women in ghagra-choli,,,,,
Haryana,Clothing,Traditional attire,Dhoti and turban for men,ghagra-choli for women,,,,,
Haryana,Clothing,Heavy jewelry,Bangles,necklaces,nose rings,heavy gold or silver jewelry,,,
Haryana,Food and Lifestyle,Dairy-rich diet,Preference for dairy products,non-vegetarian food,simple hearty meals,,,,
Haryana,Food and Lifestyle,Love for rural life,Resistance to urbanization,deep connection to rural traditions,,,,,
Haryana,Food and Lifestyle,Sports enthusiasts,Wrestling,kabaddi,excelling in athletics,,,,
Haryana,Work and Jobs,Agriculture-focused,Grain production,dairy farming,rural occupations,,,,
Haryana,Work and Jobs,Skilled in military,High respect for military,strong presence in armed forces,,,,,
Haryana,Work and Jobs,Limited industrial growth,Economically dependent on agriculture and traditional industries,,,,,,
Haryana,Others,Gender inequality,Skewed sex ratios,discrimination against women,female infanticide,,,,
Haryana,Others,Regional pride,Strong connection to Haryanvi identity,rich cultural heritage,,,,,
Haryana,Others,Religious festivals,Devotion to local festivals,Jat pride,cultural celebrations,,,,
Jharkhand,Personality,Strong tribal identity,Tribal customs,traditional festivals,deeply rooted in tribal culture,,,,
Jharkhand,Personality,Economically underdeveloped,Backward,primitive,limited access to modern education,,,,
Jharkhand,Personality,Deeply spiritual,Spiritual connection to nature,devotion to local deities,,,,,
Jharkhand,Personality,Politically marginalized,Lack of political influence,isolated from national mainstream,,,,,
Jharkhand,Personality,Resistant to modernization,Slow to adopt modern practices,traditional lifestyle,,,,,
Jharkhand,Personality,Hardworking,Involved in manual labor,accustomed to hard work,,,,,
Jharkhand,Physical Appearance,Distinct tribal features,Darker skin tone,short stature,strong facial structures,,,,
Jharkhand,Physical Appearance,Physically strong and hardy,Muscular build,accustomed to manual labor,,,,,
Jharkhand,Physical Appearance,Rustic appearance,Unkempt hair and beards,barefoot or simple footwear,,,,,
Jharkhand,Clothing,Traditional tribal clothing,Heavy beaded jewelry,body adornments like tattoos or markings,,,,,
Jharkhand,Clothing,Women’s traditional attire,Long,unadorned hair,floral adornments,,,,
Jharkhand,Clothing,Men’s traditional appearance,Thick hair,unkempt beards,rustic look,,,,
Jharkhand,Food and Lifestyle,Simple,rural diet,Subsistence farming,reliance on traditional food,,,,
Jharkhand,Food and Lifestyle,Agrarian lifestyle,Focus on agriculture,low-skilled migrant workers,,,,,
Jharkhand,Food and Lifestyle,Connection to nature,Heavily involved in tribal festivals,rituals tied to nature,,,,,
Jharkhand,Work and Jobs,Low-skilled migrant workers,Manual labor,employment in other states,,,,,
Jharkhand,Work and Jobs,Mining-focused economy,Economically dependent on mining activities,,,,,,
Jharkhand,Work and Jobs,Limited economic opportunities,Poor infrastructure,lack of industrial growth,,,,,
Jharkhand,Others,Women confined to domestic roles,Traditional gender roles,women bound to household duties,,,,,
Jharkhand,Others,Isolated and remote,Geographically isolated,disconnected from national development,,,,,
Nagaland,Personality,Strong tribal identity,Hornbill Festival,rejection of mainstream Indian culture,,,,,
Nagaland,Personality,Conservative Christian state,Rejection of Hinduism,focus on Christianity,,,,,
Nagaland,Personality,Patriarchal mindset,Male-dominated society,women don’t participate in politics,,,,,
Nagaland,Personality,Politically disengaged,Lack of interest in national politics,conflict with Indian government,,,,,
Nagaland,Personality,Self-sufficient,Farmers,reliance on agriculture,dependence on government aid,,,,
Nagaland,Personality,Aggressive and warlike,Warrior-like posture,perceived as unsafe for outsiders,,,,,
Nagaland,Physical Appearance,Petite and lean build,Short stature,small eyes,high cheekbones,,,,
Nagaland,Physical Appearance,Southeast Asian features,Straight black hair,slanted eyes,flat noses,,,,
Nagaland,Physical Appearance,Tribal aesthetic,Men with big ear piercings,women with facial tattoos,,,,,
Nagaland,Physical Appearance,Athletic physique,Lean and muscular builds,strong posture,,,,,
Nagaland,Clothing,Traditional tribal attire,Colorful skirts,beaded jewelry,headgear with feathers,,,,
Nagaland,Clothing,Distinctive adornments,Large colorful beads,men with tribal tattoos,women with facial tattoos,,,,
Nagaland,Clothing,Reserved and modest,Women in graceful attire,men in traditional warrior-inspired clothing,,,,,
Nagaland,Food and Lifestyle,Non-vegetarian diet,Pork,beef,insects,dogs,avoidance of Indian staples like roti and dal,,
Nagaland,Food and Lifestyle,Matrilineal society,Women not facing gender discrimination,,,,,,
Nagaland,Food and Lifestyle,English-speaking,English as first language,limited Hindi speakers,,,,,
Nagaland,Work and Jobs,Limited corporate involvement,Focus on farming,sports,music,lack of corporate jobs,,,
Nagaland,Work and Jobs,Skilled artisans,Weaving,beadwork,traditional crafts,,,,
Nagaland,Others,Isolated from mainstream India,Perceived as backward or tribal,lack of integration with Indian society,,,,,
Nagaland,Others,Conflict-prone,Always in conflict with the Indian government,,,,,,
Nagaland,Others,Mystical and exoticized,Picturesque landscapes,romanticized tribal lifestyle,,,,,
Tripura,Personality,Strong tribal identity,Animistic or indigenous religions,traditional tattoos,mystical rituals,,,,
Tripura,Personality,Reserved and traditional,Very reserved,not socially outspoken,follow traditional customs,,,,
Tripura,Personality,Backward and underdeveloped,Lack of higher education,limited industrial presence,conflict zone,,,,
Tripura,Personality,Politically unstable,Limited political representation,politically disengaged,,,,,
Tripura,Personality,Not highly educated,Poor Hindi/English skills,lack of national-level academic representation,,,,,
Tripura,Personality,Self-reliant,Farmers,handicrafts,traditional weaving as primary economic activities,,,,
Tripura,Physical Appearance,Southeast Asian features,Small,slanted eyes,fair-skinned,sharp or high cheekbones,,,
Tripura,Physical Appearance,Athletic build,Naturally fit,muscular men,slim and petite women,,,,
Tripura,Physical Appearance,Short stature,Short in height,small-eyed,broader flat noses,,,,
Tripura,Clothing,Traditional tribal attire,Rignai and Risa for women,dhoti or tribal clothes for men,,,,,
Tripura,Clothing,Heavy jewelry and adornments,Heavy silver/beaded jewelry,bone/wooden accessories,tribal tattoos,,,,
Tripura,Clothing,Colorful and distinct clothing,Colorful clothes with tribal patterns,traditional headbands,,,,,
Tripura,Food and Lifestyle,Simple,non-spicy diet,Boiled food,no spices,pork,bamboo shoots,insects,frogs
Tripura,Food and Lifestyle,Alcohol-centric lifestyle,Drink rice beer (Chuwarak),homemade alcohol,local liquor consumption,,,,
Tripura,Food and Lifestyle,Rural traditions,Always eat with hands,sit on the floor,live in wooden/bamboo huts,,,,
Tripura,Work and Jobs,Agriculture-focused,Predominantly farmers,subsistence farming,,,,,
Tripura,Work and Jobs,Low-skilled migrant workers,Migrate for better jobs,government job seekers,,,,,
Tripura,Work and Jobs,Skilled artisans,Handicrafts,traditional weaving,handmade baskets,,,,
Tripura,Others,Isolated from mainstream India,Culturally closer to Southeast Asia,mistaken for foreigners,,,,,
Tripura,Others,Martial arts enthusiasts,Excel in martial arts,not very involved in cricket,,,,,
Tripura,Others,Musicians and dancers,Tribal music and dance,artistic expression through performances,,,,,
Goa,Personality,Laid-back and carefree,Lazy,less ambitious,always happy,stress-free,friendly,,
Goa,Personality,Extroverted,Outgoing,party-loving,musically inclined,,,,
Goa,Personality,Politically indifferent,Detached from mainland India,politically unengaged,,,,,
Goa,Personality,Less conservative,Liberal mindset,open-minded,,,,,
Goa,Personality,Beach lovers,Love beaches,expert swimmers,live near the sea,,,,
Goa,Physical Appearance,Westernized appearance,Mixed European-Indian ancestry,tanned skin,lighter-colored eyes,,,,
Goa,Physical Appearance,Sharp facial features,Large expressive eyes,curly or wavy hair,rugged fisherman look,,,,
Goa,Physical Appearance,Athletic build,Lean and fit,muscular men,curvy or petite women,,,,
Goa,Physical Appearance,Tattoos and accessories,Tattoos,dreadlocks,anklets,crosses,,,
Goa,Clothing,Casual beachwear,Always in casual beachwear,Hawaiian-style shirts,sunglasses,hats,,,
Goa,Clothing,Traditional attire,Rarely wear traditional Indian clothes,fishermen in traditional attire,,,,,
Goa,Food and Lifestyle,Seafood and alcohol lovers,Love seafood,feni (local liquor),beer,wine,,,
Goa,Food and Lifestyle,Nightlife enthusiasts,Always partying,nightlife-focused,,,,,
Goa,Food and Lifestyle,Christian traditions,Celebrate Carnival,Goan weddings follow Christian customs,,,,,
Goa,Work and Jobs,Tourism-centric,Primarily work in tourism,rarely migrate out of Goa,,,,,
Goa,Work and Jobs,Musically inclined,Carry guitars,love music,,,,,
Goa,Others,Detached from mainstream India,Different from the rest of India,culturally closer to Portugal,,,,,
Goa,Others,Exoticized and romanticized,Perceived as picturesque,idealized beach lifestyle,,,,,
Chhattisgarh,Personality,Down-to-earth and humble,Simple-living, modest, hospitable, shy,,,
Chhattisgarh,Personality,Hardworking,Involved in farming, daily-wage labor, resilient,,,,
Chhattisgarh,Personality,Traditional mindset,Frugal, superstitious, reliant on traditional practices,,,,
Chhattisgarh,Personality,Nature-loving,Love for forests, reliance on forest produce, minimal use of oil,,,,
Chhattisgarh,Personality,Community-oriented,Close family ties, community feasts (bhoj), oral storytelling,,,,
Chhattisgarh,Physical Appearance,Medium-to-dark complexion,Sturdy build, calloused hands, weather-beaten skin,,,,
Chhattisgarh,Physical Appearance,Tribal features,High cheekbones, thick moustaches, tribal tattoos (in some communities),,,,
Chhattisgarh,Physical Appearance,Lean and strong,Lean frame, prominent noses, expressive eyes,,,,
Chhattisgarh,Clothing,Traditional attire,Dhoti-kurta, light-colored cotton sarees, handwoven Kota cloth,,,,
Chhattisgarh,Clothing,Tribal jewelry,Beads, bangles, mangalsutra, tie-dyed fabrics,,,
Chhattisgarh,Clothing,Practical accessories,Pagdi (turban), gamcha (thin towel scarf), wooden footwear (khadau),,,,
Chhattisgarh,Food and Lifestyle,Rice-centric diet,Red rice, chana sira snacks, farin (rice dumplings), green leafy saag,,,
Chhattisgarh,Food and Lifestyle,Forest-based cuisine,Reliance on mahua liquor, forest produce, minimal oil usage,,,,
Chhattisgarh,Food and Lifestyle,Rustic lifestyle,Simple home-cooked meals, early rising, roadside “tapri” tea culture,,,,
Chhattisgarh,Work and Jobs,Agriculture-focused,Rice farmers, reliance on farming,,,,,
Chhattisgarh,Work and Jobs,Skilled artisans,Weavers, potters, bamboo &amp, metalwork artisans,,,
Chhattisgarh,Work and Jobs,Forest gatherers,Mahua collectors, forest guards, reliance on forest resources,,,,
Chhattisgarh,Work and Jobs,Low-skilled workers,Daily-wage laborers, coal miners, rice-mill workers,,,,
Chhattisgarh,Others,Strong tribal identity,Folk music, pandavani, Bastar Dussehra enthusiasts,,,,
Chhattisgarh,Others,Worship of local deities,Devotion to Danteshwari, Betalnu (betel leaf) chewing,,,,,
Chhattisgarh,Others,Low-key lifestyle,Minimal city-style glamour, rustic dialects, respect for elders,,,,
Himachal Pradesh,Personality,Down-to-earth and hardy,Simple-living, nature-loving, resilient, humble,,,
Himachal Pradesh,Personality,Hospitable and community-oriented,Soft-spoken, family-centric, pride in heritage,,,,
Himachal Pradesh,Personality,Conservative mindset,Stubborn, narrow-minded, suspicious of outsiders,,,,
Himachal Pradesh,Personality,Naive and gullible,Backward, ignorant, slow-paced lifestyle,,,,
Himachal Pradesh,Personality,Alcohol-dependent,Heavy drinkers, love for home-brewed angoori wine, mahua liquor,,,,
Himachal Pradesh,Physical Appearance,Hardy hillbilly appearance,Fair to medium complexion, weather-tanned skin, sturdy build,,,,
Himachal Pradesh,Physical Appearance,Rugged and homely features,High cheekbones, thick mustaches, curly or unruly hair,,,,
Himachal Pradesh,Physical Appearance,Calloused hands and lean frame,Sun-burned forearms, bruised knuckles, dirty fingernails,,,,
Himachal Pradesh,Clothing,Traditional woolen attire,Woolen caps (topi), Kinnauri caps, shawls (chaddar), hand-knit sweaters,,,
Himachal Pradesh,Clothing,Coarse and rugged clothing,Pahari jackets, coarse cotton lungis, smelly sheep-wool garments,,,,
Himachal Pradesh,Food and Lifestyle,Simple and rustic diet,Rice-and-dal staples, madra, sidu, babru, rajma,,
Himachal Pradesh,Food and Lifestyle,Apple-heavy cuisine,Apple growers, apple-heavy dishes, roadside fruit stalls,,,,
Himachal Pradesh,Food and Lifestyle,Minimal hygiene,Open-field defecation, minimal fast-food culture,,,,,
Himachal Pradesh,Food and Lifestyle,Love for local drinks,Home-brewed angoori wine, mahua liquor, roadside chai-stopper,,,,
Himachal Pradesh,Work and Jobs,Agriculture and fruit farming,Apple growers, shepherds (gaddis), small-time hoteliers,,,,
Himachal Pradesh,Work and Jobs,Skilled artisans,Wool traders, potters, basket-weavers,,,,
Himachal Pradesh,Work and Jobs,Unskilled labor,Hydro-project laborers, army recruits, unskilled daily-wage laborers,,,,
Himachal Pradesh,Others,Strong tribal identity,Folk-dance (Nati), Bastar Dussehra enthusiasts, reverence for deities,,,,
Himachal Pradesh,Others,Isolated and rustic lifestyle,Rustic dialects, buggy mountain roads, back-of-beyond mentality,,,,
Himachal Pradesh,Others,Pride in cleanliness,Oral storytelling addicts, pride in “clean” villages,,,,,
Arunachal Pradesh,Personality,Shy and reserved,Reserved, hard to approach, peaceful,,,,
Arunachal Pradesh,Personality,Hospitable and family-oriented,Hospitable, gentle, family-centric,,,,
Arunachal Pradesh,Personality,Naive and gullible,Docile, naive, simplistic,,,,
Arunachal Pradesh,Personality,Nature-loving,Love for nature, slow-paced lifestyle,,,,,
Arunachal Pradesh,Personality,Superstitious mindset,Strong belief in animism, folklore-rich culture,,,,,
Arunachal Pradesh,Physical Appearance,Medium complexion and lean physique,Lean build, soft facial features, medium complexion,,,,
Arunachal Pradesh,Physical Appearance,Tribal aesthetic,Broad cheekbones, tribal tattoos, sun-weathered skin,,,,
Arunachal Pradesh,Physical Appearance,Hardworking and rugged,Calloused hands, barefoot calluses, slight stature,,,,
Arunachal Pradesh,Clothing,Traditional tribal attire,Colorful shawls, bamboo hats, Galo drape, Akong wrap,,,
Arunachal Pradesh,Clothing,Adornments and accessories,Beads, necklaces, cane baskets, woolen scarves,,,
Arunachal Pradesh,Food and Lifestyle,Rice-and-meat staples,Fermented fish, bamboo-shoot curries, smoked meat,,,,
Arunachal Pradesh,Food and Lifestyle,Forest-based lifestyle,Foraging forest produce, herbal remedies, seasonal eating,,,,
Arunachal Pradesh,Food and Lifestyle,Minimal processed foods,Fish-centric diet, millet ale drinking, mountain-spring water,,,,
Arunachal Pradesh,Work and Jobs,Agriculture-focused,Shifting cultivators, vegetable farmers, fruit orchard workers,,,,
Arunachal Pradesh,Work and Jobs,Skilled artisans,Bamboo craftsmen, tribal artisans,,,,,
Arunachal Pradesh,Work and Jobs,Security and service roles,Security-force recruits, government clerks, village school teachers,,,,
Arunachal Pradesh,Others,Strong tribal identity,Animistic beliefs, matriarchal influences, chiefdom-loyalty mindset,,,,
Arunachal Pradesh,Others,Remote-living reputation,Inaccessible terrain, road-less stereotypes, sleepy villages,,,,
Arunachal Pradesh,Others,Underdeveloped infrastructure,Heavy monsoon dependence, underdeveloped infrastructure,,,,,
Manipur,Personality,Reserved and insular,Suspicious of outsiders, proud, family-centric,,,,
Manipur,Personality,Hardy and nature-loving,Athletic, adaptable, stoic,,,,
Manipur,Personality,Quick-tempered and spiritual,Superstitious, mystical beliefs, naive,,,,
Manipur,Personality,Community-oriented,Strong tribal solidarity, matriarchal leanings,,,,,
Manipur,Physical Appearance,Lean and athletic build,Medium to dark complexion, high cheekbones, muscular calves,,,,
Manipur,Physical Appearance,Tribal aesthetic,Tribal tattoos, prominent noses, weather-beaten skin,,,,
Manipur,Physical Appearance,Small stature,Slender hands, sharp facial features, thick black hair,,,,
Manipur,Clothing,Traditional attire,Phanek (wraparound skirt), innaphi (woolen shawl), men’s loincloth/dhoti,,,,
Manipur,Clothing,Handmade accessories,Bamboo hats, handmade silver jewelry, hand-woven scarves,,,,
Manipur,Clothing,Modest and old-fashioned,Plain colors, coarse cotton fabrics, simple slippers,,,,
Manipur,Food and Lifestyle,Rice-and-fish staples,Ngari (fermented fish), bamboo-shoot curries, chili-loaded stews,,,,
Manipur,Food and Lifestyle,Minimal reliance on processed foods,Early rising, barefoot walking, fishing obsession,,,,
Manipur,Food and Lifestyle,Street-side cuisine,Mee (noodle soup), reliance on river-water, minimal kitchen hygiene,,,,
Manipur,Work and Jobs,Agriculture-focused,Paddy farmers, fishermen, forest gatherers,,,,
Manipur,Work and Jobs,Skilled artisans,Handloom weavers, bamboo-craft artisans,,,,,
Manipur,Work and Jobs,Low-skilled labor,Migrant daily-wage laborers, small-scale traders,,,,,
Manipur,Others,Love for traditional arts,Manipuri dance, Mukna (wrestling) fans, polo enthusiasts,,,,
Manipur,Others,Water-centric lifestyle,River-dwelling stereotypes, boat-race enthusiasts,,,,,
Manipur,Others,Rich folklore,Mystical beliefs, rich tribal stories, slow tech adopters,,,,
Meghalaya,Personality,Warm and hospitable,Friendly, community-oriented, laid-back,,,,
Meghalaya,Personality,Shy and reserved,Rustic, naive, gullible,,,,
Meghalaya,Personality,Proud of matrilineal culture,Matrilineal inheritance pride, strong family bonds,,,,,
Meghalaya,Personality,Hard-drinking,Rice beer (kyat), frequent weddings, Catholic feast-obsession,,,,
Meghalaya,Personality,Superstitious mindset,Supernatural-spirit believers, spirit-possession fears,,,,,
